,Unnamed: 0,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
226,226,227.0,0.8679532,0.8458334,0.59014475,-0.28822708,0.52648795,-0.23801461
227,227,228.0,0.8679532,0.8458334,0.5900954,-0.28784648,0.52669287,-0.23790446
228,228,229.0,0.8679532,0.8458334,0.5900443,-0.28746706,0.5268942,-0.23779342
229,229,230.0,0.8679532,0.8458334,0.58999145,-0.2870888,0.5270921,-0.23768143
230,230,231.0,0.8679532,0.8458334,0.5899368,-0.28671175,0.52728665,-0.23756854
231,231,232.0,0.8679532,0.8458334,0.58988035,-0.2863359,0.5274777,-0.2374548
232,232,233.0,0.8679532,0.8458334,0.5898222,-0.2859612,0.5276655,-0.23734017
233,233,234.0,0.8679532,0.8458334,0.5897624,-0.2855877,0.52784985,-0.23722465
234,234,235.0,0.8679532,0.8458334,0.589701,-0.28521532,0.52803105,-0.23710832
235,235,236.0,0.8679532,0.8458334,0.5896379,-0.2848441,0.528209,-0.2369912
236,236,237.0,0.8679532,0.8458334,0.5895731,-0.28447407,0.52838373,-0.23687324
237,237,238.0,0.8679532,0.8458334,0.5895068,-0.28410518,0.5285554,-0.2367545
238,238,239.0,0.8679532,0.8458334,0.58943903,-0.28373742,0.52872384,-0.236635
239,239,240.0,0.8679532,0.8458334,0.5893696,-0.2833708,0.5288893,-0.23651472
240,240,241.0,0.8679532,0.8458334,0.58929867,-0.28300533,0.52905166,-0.23639373
241,241,242.0,0.8679532,0.8458334,0.5892263,-0.28264102,0.529211,-0.236272
242,242,243.0,0.8679532,0.8458334,0.58915246,-0.28227782,0.52936745,-0.23614955
243,243,244.0,0.8679532,0.8458334,0.58907706,-0.28191575,0.52952087,-0.23602644
244,244,245.0,0.8679532,0.8458334,0.58900034,-0.28155482,0.5296715,-0.23590259
245,245,246.0,0.8679532,0.8458334,0.58892214,-0.281195,0.52981925,-0.2357781
246,246,247.0,0.8679532,0.8458334,0.5888425,-0.28083634,0.5299641,-0.23565292
247,247,248.0,0.8679532,0.8458334,0.5887617,-0.28047878,0.5301061,-0.23552716
248,248,249.0,0.8679532,0.8458334,0.58867943,-0.28012234,0.5302454,-0.23540072
249,249,250.0,0.8679532,0.8458334,0.5885958,-0.27976695,0.53038204,-0.23527369
250,250,251.0,0.8679532,0.8458334,0.5885109,-0.2794127,0.53051597,-0.23514605
251,251,252.0,0.8679532,0.85371524,0.5884247,-0.2790595,0.5306472,-0.2350178
